SOA,Program,Crop,Crop_2,Value,share,150
Inibidores da ACCase ,PÓS-emergente,Trigo,Trigo (n=33),42,26,
Inibidores da DOXP sintase,PÓS-emergente,Trigo,Trigo (n=33),0,0,
Inibidores da glutamina sintetase,PÓS-emergente,Trigo,Trigo (n=33),0,0,
Inibidores da HPPD,PÓS-emergente,Trigo,Trigo (n=33),0,0,
Inibidores da EPSPS,PÓS-emergente,Trigo,Trigo (n=33),0,0,
Inibidores da formação de microtubulos,PÓS-emergente,Trigo,Trigo (n=33),0,0,
Desvio de elétrons do FSI,PÓS-emergente,Trigo,Trigo (n=33),0,0,
Inibidores do FSII,PÓS-emergente,Trigo,Trigo (n=33),0,0,
Inibidores da PPO,PÓS-emergente,Trigo,Trigo (n=33),4,2,
Mimetizadores da auxina,PÓS-emergente,Trigo,Trigo (n=33),42,26,
Inibidores da AGCML,PÓS-emergente,Trigo,Trigo (n=33),0,0,
Inibidores da ALS ,Dessecante colheita,Trigo,Trigo (n=33),0,0,100
Inibidores da ACCase ,Dessecante colheita,Trigo,Trigo (n=33),0,0,
Inibidores da DOXP sintase,Dessecante colheita,Trigo,Trigo (n=33),0,0,
Inibidores da glutamina sintetase,Dessecante colheita,Trigo,Trigo (n=33),100,100,
Inibidores da HPPD,Dessecante colheita,Trigo,Trigo (n=33),0,0,
